ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.76192,0.21155,0.33115,4

ROUGE-1+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.88804,0.11219,0.19922,4

ROUGE-2+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.59290,0.05275,0.09688,4

ROUGE-SU4+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.68840,0.05420,0.10050,4

ROUGE-L+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.52661,0.17030,0.25737,3

ROUGE-1+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.65860,0.24163,0.35355,3

ROUGE-2+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.22694,0.06794,0.10457,3

ROUGE-SU4+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.33705,0.09579,0.14918,3

ROUGE-L+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.67083,0.23829,0.35166,3

ROUGE-1+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.79573,0.20788,0.32964,3

ROUGE-2+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.43108,0.09322,0.15329,3

ROUGE-SU4+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.52844,0.10818,0.17959,3

ROUGE-L+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.61295,0.23687,0.34170,4

ROUGE-1+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.71129,0.28842,0.41042,4

ROUGE-2+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.31905,0.09645,0.14812,4

ROUGE-SU4+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.45400,0.12004,0.18988,4

ROUGE-L+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.43248,0.28911,0.34656,3

ROUGE-1+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.42667,0.32339,0.36792,3

ROUGE-2+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.13896,0.10540,0.11987,3

ROUGE-SU4+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.22370,0.14466,0.17570,3

ROUGE-L+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.64501,0.31517,0.42344,3

ROUGE-1+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.74507,0.33784,0.46489,3

ROUGE-2+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.48543,0.17125,0.25318,3

ROUGE-SU4+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.57023,0.18156,0.27543,3

ROUGE-L+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.61376,0.23403,0.33885,4

ROUGE-1+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.71192,0.25816,0.37892,4

ROUGE-2+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.34685,0.08238,0.13314,4

ROUGE-SU4+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.47368,0.10425,0.17089,4

ROUGE-L+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.48476,0.29519,0.36694,3

ROUGE-1+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.59873,0.29884,0.39869,3

ROUGE-2+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.22316,0.09173,0.13001,3

ROUGE-SU4+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.34315,0.12238,0.18042,3

ROUGE-L+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.56095,0.23015,0.32638,4

ROUGE-1+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.66277,0.27964,0.39333,4

ROUGE-2+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.28317,0.09820,0.14583,4

ROUGE-SU4+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.41620,0.12230,0.18905,4

ROUGE-L+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.60987,0.14072,0.22868,3

ROUGE-1+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.76393,0.12675,0.21743,3

ROUGE-2+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.30568,0.03993,0.07064,3

ROUGE-SU4+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.46911,0.04922,0.08909,3

ROUGE-L+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.58318,0.23679,0.33682,4

ROUGE-1+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.73538,0.20563,0.32139,4

ROUGE-2+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.32234,0.07896,0.12685,4

ROUGE-SU4+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.44608,0.09407,0.15538,4

ROUGE-L+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.52438,0.18690,0.27557,4

ROUGE-1+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.69705,0.14007,0.23327,4

ROUGE-2+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.24938,0.03983,0.06869,4

