ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.73464,0.23304,0.35383,4

ROUGE-1+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.86474,0.13016,0.22627,4

ROUGE-2+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.57507,0.06070,0.10981,4

ROUGE-SU4+StopWordRemoval+Stemming,33090,SUMMARY.TXT,0.66697,0.06240,0.11412,4

ROUGE-L+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.50286,0.17948,0.26454,3

ROUGE-1+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.65951,0.24365,0.35584,3

ROUGE-2+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.26983,0.07257,0.11438,3

ROUGE-SU4+StopWordRemoval+Stemming,30817,SUMMARY.TXT,0.38349,0.10205,0.16120,3

ROUGE-L+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.65796,0.27161,0.38450,3

ROUGE-1+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.76870,0.25567,0.38371,3

ROUGE-2+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.41395,0.11618,0.18144,3

ROUGE-SU4+StopWordRemoval+Stemming,30816,SUMMARY.TXT,0.50272,0.13295,0.21029,3

ROUGE-L+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.54218,0.24022,0.33293,4

ROUGE-1+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.64330,0.26656,0.37693,4

ROUGE-2+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.27907,0.08869,0.13461,4

ROUGE-SU4+StopWordRemoval+Stemming,30819,SUMMARY.TXT,0.40009,0.10977,0.17227,4

ROUGE-L+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.36671,0.28656,0.32172,3

ROUGE-1+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.34769,0.31452,0.33027,3

ROUGE-2+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.09804,0.09586,0.09694,3

ROUGE-SU4+StopWordRemoval+Stemming,33097,SUMMARY.TXT,0.17350,0.13795,0.15369,3

ROUGE-L+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.61984,0.33165,0.43210,3

ROUGE-1+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.72948,0.35200,0.47486,3

ROUGE-2+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.47830,0.18269,0.26440,3

ROUGE-SU4+StopWordRemoval+Stemming,33098,SUMMARY.TXT,0.56345,0.19118,0.28550,3

ROUGE-L+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.56400,0.24515,0.34175,4

ROUGE-1+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.65064,0.31808,0.42728,4

ROUGE-2+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.31447,0.09628,0.14742,4

ROUGE-SU4+StopWordRemoval+Stemming,32688,SUMMARY.TXT,0.43058,0.12596,0.19491,4

ROUGE-L+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.40877,0.30043,0.34632,3

ROUGE-1+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.51643,0.33864,0.40905,3

ROUGE-2+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.18584,0.10394,0.13332,3

ROUGE-SU4+StopWordRemoval+Stemming,31478,SUMMARY.TXT,0.28696,0.13729,0.18573,3

ROUGE-L+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.48943,0.24872,0.32982,4

ROUGE-1+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.58367,0.32071,0.41396,4

ROUGE-2+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.22419,0.10547,0.14346,4

ROUGE-SU4+StopWordRemoval+Stemming,31114,SUMMARY.TXT,0.34722,0.13524,0.19466,4

ROUGE-L+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.57696,0.16437,0.25585,3

ROUGE-1+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.73016,0.16635,0.27096,3

ROUGE-2+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.27324,0.04921,0.08340,3

ROUGE-SU4+StopWordRemoval+Stemming,32562,SUMMARY.TXT,0.43216,0.06230,0.10890,3

ROUGE-L+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.54408,0.26127,0.35302,4

ROUGE-1+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.67141,0.25079,0.36518,4

ROUGE-2+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.28372,0.09399,0.14120,4

ROUGE-SU4+StopWordRemoval+Stemming,32684,SUMMARY.TXT,0.39924,0.11288,0.17600,4

ROUGE-L+StopWordRemoval+Stemming,31474,SUMMARY.TXT,0.47241,0.17818,0.25876,3

ROUGE-1+StopWordRemoval+Stemming,31474,SUMMARY.TXT,0.64412,0.17043,0.26954,3

ROUGE-2+StopWordRemoval+Stemming,31474,SUMMARY.TXT,0.23326,0.04399,0.07402,3

ROUGE-SU4+StopWordRemoval+Stemming,31474,SUMMARY.TXT,0.35325,0.06372,0.10797,3

ROUGE-L+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.48952,0.20804,0.29199,4

ROUGE-1+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.64852,0.20207,0.30813,4

ROUGE-2+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.21274,0.05307,0.08495,4

ROUGE-SU4+StopWordRemoval+Stemming,32560,SUMMARY.TXT,0.35733,0.07340,0.12178,4

ROUGE-L+StopWordRemoval+Stemming,31595,SUMMARY.TXT,0.50803,0.24142,0.32730,3

ROUGE-1+StopWordRemoval+Stemming,31595,SUMMARY.TXT,0.58263,0.32092,0.41387,3

ROUGE-2+StopWordRemoval+Stemming,31595,SUMMARY.TXT,0.18725,0.09383,0.12502,3

ROUGE-SU4+StopWordRemoval+Stemming,31595,SUMMARY.TXT,0.33160,0.12994,0.18672,3

ROUGE-L+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.57731,0.23064,0.32960,3

ROUGE-1+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.69412,0.18955,0.29778,3

ROUGE-2+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.30509,0.05816,0.09769,3

