ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,30779,1.TXT,0.32858,0.55514,0.41282,1
ROUGE-L+StopWordRemoval,30779,3.TXT,0.15085,0.66910,0.24620,1
ROUGE-L+StopWordRemoval,30779,4.TXT,0.11849,0.58537,0.19708,1
ROUGE-L+StopWordRemoval,30779,2.TXT,0.07296,1.00000,0.13599,1

ROUGE-1+StopWordRemoval,30779,1.TXT,0.23920,0.71978,0.35908,1
ROUGE-1+StopWordRemoval,30779,3.TXT,0.06901,0.85126,0.12767,1
ROUGE-1+StopWordRemoval,30779,4.TXT,0.10852,0.69958,0.18790,1
ROUGE-1+StopWordRemoval,30779,2.TXT,0.03813,1.00000,0.07346,1

ROUGE-2+StopWordRemoval,30779,1.TXT,0.09329,0.31361,0.14381,1
ROUGE-2+StopWordRemoval,30779,3.TXT,0.02868,0.41955,0.05369,1
ROUGE-2+StopWordRemoval,30779,4.TXT,0.02567,0.19553,0.04538,1
ROUGE-2+StopWordRemoval,30779,2.TXT,0.02705,1.00000,0.05268,1

ROUGE-SU4+StopWordRemoval,30779,1.TXT,0.11444,0.43362,0.18109,1
ROUGE-SU4+StopWordRemoval,30779,3.TXT,0.03242,0.56060,0.06129,1
ROUGE-SU4+StopWordRemoval,30779,4.TXT,0.03946,0.33705,0.07064,1
ROUGE-SU4+StopWordRemoval,30779,2.TXT,0.02045,1.00000,0.04009,1

ROUGE-L+StopWordRemoval,30778,3.TXT,0.29525,0.61216,0.39836,1
ROUGE-L+StopWordRemoval,30778,1.TXT,0.44388,0.43166,0.43769,1
ROUGE-L+StopWordRemoval,30778,2.TXT,0.11830,0.81818,0.20671,1

ROUGE-1+StopWordRemoval,30778,3.TXT,0.28672,0.76479,0.41708,1
ROUGE-1+StopWordRemoval,30778,1.TXT,0.56478,0.51914,0.54100,1
ROUGE-1+StopWordRemoval,30778,2.TXT,0.10738,0.90847,0.19207,1

ROUGE-2+StopWordRemoval,30778,3.TXT,0.12419,0.39637,0.18912,1
ROUGE-2+StopWordRemoval,30778,1.TXT,0.25081,0.27573,0.26268,1
ROUGE-2+StopWordRemoval,30778,2.TXT,0.05763,0.74476,0.10698,1

ROUGE-SU4+StopWordRemoval,30778,3.TXT,0.13191,0.51327,0.20988,1
ROUGE-SU4+StopWordRemoval,30778,1.TXT,0.27134,0.36469,0.31116,1
ROUGE-SU4+StopWordRemoval,30778,2.TXT,0.04991,0.79483,0.09391,1

ROUGE-L+StopWordRemoval,30777,3.TXT,0.14130,0.58592,0.22770,1
ROUGE-L+StopWordRemoval,30777,1.TXT,0.21467,0.59848,0.31600,1
ROUGE-L+StopWordRemoval,30777,2.TXT,0.06590,0.92381,0.12302,1

ROUGE-1+StopWordRemoval,30777,3.TXT,0.08710,0.78174,0.15673,1
ROUGE-1+StopWordRemoval,30777,1.TXT,0.15546,0.77874,0.25918,1
ROUGE-1+StopWordRemoval,30777,2.TXT,0.06985,0.98255,0.13043,1

ROUGE-2+StopWordRemoval,30777,3.TXT,0.02966,0.29912,0.05396,1
ROUGE-2+StopWordRemoval,30777,1.TXT,0.06750,0.37962,0.11462,1
ROUGE-2+StopWordRemoval,30777,2.TXT,0.05497,0.85029,0.10326,1

ROUGE-SU4+StopWordRemoval,30777,3.TXT,0.03929,0.44367,0.07219,1
ROUGE-SU4+StopWordRemoval,30777,1.TXT,0.07759,0.49051,0.13398,1
ROUGE-SU4+StopWordRemoval,30777,2.TXT,0.05163,0.86522,0.09744,1

