ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,30779,1.TXT,0.48682,0.39841,0.43820,1
ROUGE-L+StopWordRemoval+Stemming,30779,3.TXT,0.27046,0.52989,0.35813,1
ROUGE-L+StopWordRemoval+Stemming,30779,4.TXT,0.21914,0.47024,0.29896,1
ROUGE-L+StopWordRemoval+Stemming,30779,2.TXT,0.14008,0.78906,0.23793,1

ROUGE-1+StopWordRemoval+Stemming,30779,1.TXT,0.28197,0.39838,0.33022,1
ROUGE-1+StopWordRemoval+Stemming,30779,3.TXT,0.11973,0.69347,0.20420,1
ROUGE-1+StopWordRemoval+Stemming,30779,4.TXT,0.16033,0.48529,0.24103,1
ROUGE-1+StopWordRemoval+Stemming,30779,2.TXT,0.07375,0.90812,0.13641,1

ROUGE-2+StopWordRemoval+Stemming,30779,1.TXT,0.09163,0.14462,0.11219,1
ROUGE-2+StopWordRemoval+Stemming,30779,3.TXT,0.02985,0.20501,0.05211,1
ROUGE-2+StopWordRemoval+Stemming,30779,4.TXT,0.02742,0.09808,0.04286,1
ROUGE-2+StopWordRemoval+Stemming,30779,2.TXT,0.03766,0.65361,0.07122,1

ROUGE-SU4+StopWordRemoval+Stemming,30779,1.TXT,0.12831,0.22823,0.16427,1
ROUGE-SU4+StopWordRemoval+Stemming,30779,3.TXT,0.04440,0.36048,0.07907,1
ROUGE-SU4+StopWordRemoval+Stemming,30779,4.TXT,0.05162,0.20702,0.08264,1
ROUGE-SU4+StopWordRemoval+Stemming,30779,2.TXT,0.03451,0.79203,0.06613,1

ROUGE-L+StopWordRemoval+Stemming,30778,3.TXT,0.40822,0.65105,0.50181,1
ROUGE-L+StopWordRemoval+Stemming,30778,1.TXT,0.55066,0.45620,0.49900,1
ROUGE-L+StopWordRemoval+Stemming,30778,2.TXT,0.17474,0.87500,0.29131,1

ROUGE-1+StopWordRemoval+Stemming,30778,3.TXT,0.45120,0.73377,0.55879,1
ROUGE-1+StopWordRemoval+Stemming,30778,1.TXT,0.74401,0.41696,0.53442,1
ROUGE-1+StopWordRemoval+Stemming,30778,2.TXT,0.17924,0.92449,0.30026,1

ROUGE-2+StopWordRemoval+Stemming,30778,3.TXT,0.17488,0.34024,0.23102,1
ROUGE-2+StopWordRemoval+Stemming,30778,1.TXT,0.32889,0.22040,0.26394,1
ROUGE-2+StopWordRemoval+Stemming,30778,2.TXT,0.09232,0.72727,0.16384,1

ROUGE-SU4+StopWordRemoval+Stemming,30778,3.TXT,0.19831,0.47030,0.27899,1
ROUGE-SU4+StopWordRemoval+Stemming,30778,1.TXT,0.35817,0.29339,0.32256,1
ROUGE-SU4+StopWordRemoval+Stemming,30778,2.TXT,0.08215,0.79741,0.14895,1

ROUGE-L+StopWordRemoval+Stemming,30777,3.TXT,0.22353,0.46061,0.30099,1
ROUGE-L+StopWordRemoval+Stemming,30777,1.TXT,0.32206,0.47300,0.38320,1
ROUGE-L+StopWordRemoval+Stemming,30777,2.TXT,0.12941,0.86275,0.22506,1

ROUGE-1+StopWordRemoval+Stemming,30777,3.TXT,0.21973,0.66481,0.33029,1
ROUGE-1+StopWordRemoval+Stemming,30777,1.TXT,0.35664,0.60224,0.44799,1
ROUGE-1+StopWordRemoval+Stemming,30777,2.TXT,0.18697,0.88656,0.30881,1

ROUGE-2+StopWordRemoval+Stemming,30777,3.TXT,0.06259,0.21277,0.09673,1
ROUGE-2+StopWordRemoval+Stemming,30777,1.TXT,0.12334,0.23378,0.16148,1
ROUGE-2+StopWordRemoval+Stemming,30777,2.TXT,0.13402,0.69866,0.22490,1

ROUGE-SU4+StopWordRemoval+Stemming,30777,3.TXT,0.09031,0.34361,0.14303,1
ROUGE-SU4+StopWordRemoval+Stemming,30777,1.TXT,0.15595,0.33218,0.21225,1
ROUGE-SU4+StopWordRemoval+Stemming,30777,2.TXT,0.13157,0.74293,0.22354,1

